Date,Start,End,Subject/Activity,Type,Macro subject,Teacher
"Monday, 01 February 2021",11:00 AM,12:00 PM,Buisness Information System - Retake session,Exam,,
"Monday, 01 February 2021",1:00 PM,4:00 PM,,,,
"Tuesday, 02 February 2021",9:00 AM,12:00 PM,,,,
"Tuesday, 02 February 2021",1:00 PM,4:00 PM,,,,
"Wednesday, 03 February 2021",9:00 AM,12:00 PM,Smart Data and Smart Machine for the Web,Lecture,Other Advanced Technologies,Emanuele Della Valle
"Wednesday, 03 February 2021",2:00 PM,6:00 PM,More than Technology: personal skills,Lecture,,Filippo Passerini
"Thursday, 04 February 2021",9:00 AM,1:00 PM,More than Technology: personal skills,Lecture,,Filippo Passerini
"Thursday, 04 February 2021",2:00 PM,6:00 PM,More than Technology: personal skills,Lecture,,Filippo Passerini
"Friday, 05 February 2021",9:00 AM,12:00 PM,,,,
"Friday, 05 February 2021",1:00 PM,4:00 PM,,,,
"Saturday, 06 February 2021",,,,,,
"Sunday, 07 February 2021",,,,,,
"Monday, 08 February 2021",9:00 AM,12:00 PM,,,,
"Monday, 08 February 2021",1:00 PM,4:00 PM,,,,
"Tuesday, 09 February 2021",10:00 AM,12:00 PM,"Advances in data Integration, warehousing and sensemaking - EXAM",Exam,,
"Tuesday, 09 February 2021",1:00 PM,4:00 PM,,,,
"Wednesday, 10 February 2021",9:00 AM,12:00 PM,Scalable data storage and processing,,Big Data Cloud Technologies,Marco Brambilla
"Wednesday, 10 February 2021",1:00 PM,4:00 PM,Scalable data storage and processing,,Big Data Cloud Technologies,Marco Brambilla
"Thursday, 11 February 2021",9:00 AM,12:00 PM,,,,
"Thursday, 11 February 2021",1:00 PM,4:00 PM,,,,
"Friday, 12 February 2021",9:00 AM,12:00 PM,,,,
"Friday, 12 February 2021",1:00 PM,4:00 PM,,,,
"Saturday, 13 February 2021",,,,,,
"Sunday, 14 February 2021",,,,,,
"Monday, 15 February 2021",9:00 AM,12:00 PM,,,,
"Monday, 15 February 2021",1:00 PM,4:00 PM,,,,
"Tuesday, 16 February 2021",9:00 AM,12:00 PM,Scalable data storage and processing,,Big Data Cloud Technologies,Marco Brambilla
"Tuesday, 16 February 2021",1:00 PM,4:00 PM,Scalable data storage and processing,,Big Data Cloud Technologies,Marco Brambilla
"Wednesday, 17 February 2021",9:00 AM,12:00 PM,Scalable data storage and processing,,Big Data Cloud Technologies,Danilo Ardagna
"Wednesday, 17 February 2021",1:00 PM,4:00 PM,Scalable data storage and processing,,Big Data Cloud Technologies,Danilo Ardagna
"Thursday, 18 February 2021",9:00 AM,12:00 PM,,,,
"Thursday, 18 February 2021",1:00 PM,4:00 PM,Project Management,,,Paola Bellis
"Friday, 19 February 2021",9:00 AM,12:00 PM,Project Management,,,Paola Bellis
"Friday, 19 February 2021",1:00 PM,4:00 PM,Project Management,,,Paola Bellis
"Saturday, 20 February 2021",,,,,,
"Sunday, 21 February 2021",,,,,,
"Monday, 22 February 2021",9:00 AM,12:00 PM,Scalable data storage and processing,,Big Data Cloud Technologies,Danilo Ardagna
"Monday, 22 February 2021",1:00 PM,4:00 PM,Scalable data storage and processing,,Big Data Cloud Technologies,Danilo Ardagna
"Tuesday, 23 February 2021",9:00 AM,12:00 PM,Project Management,,,Daniel Trabucchi

"Tuesday, 23 February 2021",1:00 PM,4:00 PM,Scalable data storage and processing,Big Data Cloud Technologies,Danilo Ardagna
"Wednesday, 24 February 2021",9:00 AM,12:00 PM,,,
"Wednesday, 24 February 2021",1:00 PM,4:00 PM,,,
"Thursday, 25 February 2021",9:00 AM,12:00 PM,Project Management,,Daniel Trabucchi
"Thursday, 25 February 2021",1:00 PM,4:00 PM,,,
"Friday, 26 February 2021",9:00 AM,12:00 PM,,,
"Friday, 26 February 2021",1:00 PM,4:00 PM,,,
"Saturday, 27 February 2021",,,,,
"Sunday, 28 February 2021",,,,,
