Date,Start,End,Subject/Activity,Type,Macro subject,Teacher
"Thursday, 07 January 2021",9:00 AM,12:00 PM,Enabling Infrastructure - project presentation - ONLINE,EXAM,,Marco Gribaudo
"Thursday, 07 January 2021",1:00 PM,4:00 PM,Enabling Infrastructure - project presentation - ONLINE,EXAM,,Marco Gribaudo
"Friday, 08 January 2021",9:00 AM,12:00 PM,Enabling Infrastructure - project presentation - ONLINE,EXAM,,Marco Gribaudo
"Friday, 08 January 2021",1:00 PM,4:00 PM,Enabling Infrastructure - project presentation - ONLINE,EXAM,,Marco Gribaudo
"Saturday, 09 January 2021",,,,,,
"Sunday, 10 January 2021",,,,,,
"Monday, 11 January 2021",10:00 AM,12:00 PM,Data base Design and Technology - EXAM SIMULATION - ONLINE,,,Daniele Braga
"Monday, 11 January 2021",1:00 PM,4:00 PM,"Advances in data Integration, warehousing and sensemaking",LECTURE,Data Management & Warehousing,Letizia Tanca
"Tuesday, 12 January 2021",9:00 AM,12:00 PM,Security,LECTURE,Big Data Cloud Technologies,Stefano Zanero
"Tuesday, 12 January 2021","1:00 PM","4:00 PM","Advances in data Integration, warehousing and sensemaking",LECTURE,Data Management & Warehousing,Letizia Tanca
"Wednesday, 13 January 2021",1:00 PM,4:00 PM,Smart Data and Smart Machine for the Web,LECTURE,Other Advanced Technologies,Emanuele Della Valle
"Thursday, 14 January 2021",9:00 AM,12:00 PM,"Advances in data Integration, warehousing and sensemaking",LECTURE,Data Management & Warehousing,Letizia Tanca
"Thursday, 14 January 2021",1:00 PM,4:00 PM,"Advances in data Integration, warehousing and sensemaking",LECTURE,Data Management & Warehousing,Letizia Tanca
"Friday, 15 January 2021",9:00 AM,12:00 PM,"Advances in data Integration, warehousing and sensemaking",LECTURE,Data Management & Warehousing,Cinzia Cappiello
"Friday, 15 January 2021",1:00 PM,4:00 PM,Security,LECTURE,Big Data Cloud Technologies,Stefano Zanero
"Saturday, 16 January 2021
Sunday, 17 January 2021",,,,,,
"Monday, 18 January 2021",10:00 AM,11:00 AM,Data base Design and Technology - EXAM SIMULATION - ONLINE,EXAM,,
"Monday, 18 January 2021",1:00 PM,4:00 PM,,,,
"Tuesday, 19 January 2021",9:00 AM,12:00 PM,"Advances in data Integration, warehousing and sensemaking",LECTURE,Data Management & Warehousing,Cinzia Cappiello
"Tuesday, 19 January 2021",1:00 PM,4:00 PM,Smart Data and Smart Machine for the Web,LECTURE,Other Advanced Technologies,Emanuele Della Valle
"Wednesday, 20 January 2021",9:00 AM,12:00 PM,"Advances in data Integration, warehousing and sensemaking",LECTURE,Data Management & Warehousing,Cinzia Cappiello
"Wednesday, 20 January 2021",1:00 PM,4:00 PM,"Advances in data Integration, warehousing and sensemaking",LECTURE,Data Management & Warehousing,Cinzia Cappiello
"Thursday, 21 January 2021",9:00 AM,12:00 PM,Smart Data and Smart Machine for the Web,LECTURE,Other Advanced Technologies,Emanuele Della Valle
"Thursday, 21 January 2021",1:00 PM,4:00 PM,Mobile Technologies,LECTURE,Other Advanced Technologies,Luciano Baresi
"Friday, 22 January 2021",9:00 AM,12:00 PM,,,,
"Friday, 22 January 2021",1:00 PM,4:00 PM,"Advances in data Integration, warehousing and sensemaking",LECTURE,Data Management & Warehousing,Cinzia Cappiello and Letizia Tanca
"Saturday, 23 January 2021",,,,,,
"Sunday, 24 January 2021",,,,,,
"Monday, 25 January 2021",9:00 AM,12:00 PM,Mobile Technologies,LECTURE,Other Advanced Technologies,Luciano Baresi
"Monday, 25 January 2021",1:00 PM,4:00 PM,Security,LECTURE,Big Data Cloud Technologies,Stefano Zanero
"Tuesday, 26 January 2021",9:00 AM,12:00 PM,,,,
"Tuesday, 26 January 2021",1:00 PM,4:00 PM,Security,LECTURE,Big Data Cloud Technologies,Stefano Zanero
"Wednesday, 27 January 2021",9:00 AM,12:00 PM,Smart Data and Smart Machine for the Web,LECTURE,Other Advanced Technologies,Emanuele Della Valle
"Wednesday, 27 January 2021",1:00 PM,4:00 PM,,,,
"Thursday, 28 January 2021",9:00 AM,12:00 PM,Smart Data and Smart Machine for the Web,LECTURE,Other Advanced Technologies,Emanuele Della Valle
"Thursday, 28 January 2021",1:00 PM,4:00 PM,,,,
"Friday, 29 January 2021",9:00 AM,12:00 PM,Mobile Technologies,LECTURE,Other Advanced Technologies,Luciano Baresi
"Friday, 29 January 2021",1:00 PM,4:00 PM,Security,LECTURE,Big Data Cloud Technologies,Stefano Zanero
